antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'Home_0', 'Away_1'})","frozenset({'Home_Venue', 'Away Win'})",0.07627152825394265,0.18718993264227807,0.05199048118420522,0.6816499206768905,3.6414881455165147,1.0,0.03771321894782609,2.5531957431452685,0.7852816253068443,0.24585161167270647,0.6083339858744614,0.4796958933270253
"frozenset({'Home_1', 'Away Win'})",frozenset({'Away_2'}),0.086637357318598,0.16920098414875168,0.052595490662687046,0.6070763500931098,3.5879008218971324,1.0,0.03793636454033321,2.114403182521897,0.789703302642683,0.25878150426671953,0.5270533036148398,0.45896129781175155
"frozenset({'Home_1', 'Away_2'})",frozenset({'Away Win'}),0.052595490662687046,0.28576614366958414,0.052595490662687046,1.0,3.4993648553281584,1.0,0.03756548012160135,inf,0.7538847971390865,0.18405081157374736,1.0,0.5920254057868737
"frozenset({'Home_0', 'Home_Venue', 'Away_1'})",frozenset({'Away Win'}),0.05199048118420522,0.28576614366958414,0.05199048118420522,1.0,3.4993648553281584,1.0,0.03713336186866882,inf,0.7534036759700478,0.18193366266760763,1.0,0.5909668313338038
"frozenset({'Home_0', 'Away_1'})",frozenset({'Away Win'}),0.07627152825394265,0.28576614366958414,0.07627152825394265,1.0,3.4993648553281584,1.0,0.05447570775302773,inf,0.7732075801240067,0.2669019054340156,1.0,0.6334509527170078
"frozenset({'Away_1', 'Draw'})","frozenset({'Home_1', 'Home_Venue'})",0.10192393014157222,0.21336667607792523,0.07292380913967653,0.7154728927582114,3.3532550907664147,1.0,0.0511766389525706,2.7647043248276537,0.7814285779580596,0.30088201031785655,0.638297668571724,0.5286249151881794
"frozenset({'Away_1', 'Draw'})",frozenset({'Home_1'}),0.10192393014157222,0.299278022022345,0.10192393014157222,1.0,3.3413746630727768,1.0,0.07142033793205882,inf,0.7802479116141202,0.3405660377358491,1.0,0.6702830188679245
"frozenset({'Away_1', 'Home_Venue', 'Draw'})",frozenset({'Home_1'}),0.07292380913967653,0.299278022022345,0.07292380913967653,1.0,3.3413746630727768,1.0,0.051099315782019136,inf,0.7558407657167718,0.24366576819407013,1.0,0.6218328840970351
frozenset({'Away_3+'}),frozenset({'Away Win'}),0.1169281652079216,0.28576614366958414,0.10732868148267656,0.917902725077613,3.2120765367465434,1.0,0.07391457062484877,8.699848527318801,0.7798628470811518,0.3633756657107743,0.8850554700050407,0.6467424705134007
"frozenset({'Home_Venue', 'Away_3+'})",frozenset({'Away Win'}),0.07377082240955109,0.28576614366958414,0.06743838986810793,0.9141607435757244,3.1989819781895465,1.0,0.04635718643279678,8.32059696323777,0.7421495336157531,0.23087544877105773,0.8798163155338229,0.5750761374900499
"frozenset({'Home_1', 'Home_Venue', 'Draw'})",frozenset({'Away_1'}),0.07292380913967653,0.32033235187351267,0.07292380913967653,1.0,3.1217577436414,1.0,0.04956395385038879,inf,0.7331303023711117,0.22765046587761276,1.0,0.6138252329388063
"frozenset({'Home_1', 'Draw'})",frozenset({'Away_1'}),0.10192393014157222,0.32033235187351267,0.10192393014157222,1.0,3.1217577436414,1.0,0.06927439788713079,inf,0.7568040959310158,0.3181818181818182,1.0,0.6590909090909092
"frozenset({'Home_1', 'Draw'})","frozenset({'Home_Venue', 'Away_1'})",0.10192393014157222,0.23034727544064856,0.07292380913967653,0.7154728927582114,3.106061885861379,1.0,0.04944590952936237,2.705024248903312,0.7550016484119205,0.2811819595645413,0.6303175469109283,0.5160274637140733
"frozenset({'Home_1', 'Home Win', 'Home_Venue'})",frozenset({'Away_0'}),0.0828056306215464,0.39353849876981406,0.0828056306215464,1.0,2.541047453110587,1.0,0.05021842705705529,inf,0.6612137203166227,0.21041303679409654,1.0,0.6052065183970483
"frozenset({'Home_0', 'Home_Venue', 'Draw'})",frozenset({'Away_0'}),0.0625983140402533,0.39353849876981406,0.0625983140402533,1.0,2.541047453110587,1.0,0.037963467507330644,inf,0.6469601135923583,0.15906528646100238,1.0,0.5795326432305012
"frozenset({'Home_0', 'Draw'})",frozenset({'Away_0'}),0.08700036300568709,0.39353849876981406,0.08700036300568709,1.0,2.541047453110587,1.0,0.05276237075600012,inf,0.6642516345644106,0.22107205083529774,1.0,0.6105360254176488
"frozenset({'Home_1', 'Home Win'})",frozenset({'Away_0'}),0.1107167345621748,0.39353849876981406,0.1107167345621748,1.0,2.541047453110587,1.0,0.06714543705388054,inf,0.6819666182873729,0.28133647637593523,1.0,0.6406682381879676
